序号,功能模块*,用例名称*,用例编号,维护人,用例类型,优先级,前置条件,备注,步骤描述,预期结果,版本号,最新版本评审结果
76,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,验证修改后Sink端名称在Source端显示-HarmonyOS Next,CJIMR,曹Sir,功能测试,P1,Sink端设备名称已修改并保存,,在HarmonyOS Next设备上重新刷新设备列表，检查设备列表中的Sink端设备名称,Sink端设备在HarmonyOS Next设备上的名称显示为修改后的名称,版本 1,待评审
77,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,验证修改后Sink端名称在Source端显示-OpenHarmony,CJIMS,曹Sir,功能测试,P1,Sink端设备名称已修改并保存,,在OpenHarmony设备上重新刷新设备列表，检查设备列表中的Sink端设备名称,Sink端设备在OpenHarmony设备上的名称显示为修改后的名称,版本 1,待评审
78,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,验证修改Sink端名称后连接功能-OpenHarmony PC,CJIMT,曹Sir,功能测试,P1,Sink端设备名称已修改并保存，处于待连接状态,,在OpenHarmony PC 设备上选择修改后的Sink端设备名称，进行投屏连接,Sink端设备接收到连接请求，并提示用户确认连接，用户确认后，Sink端设备与OpenHarmony PC 设备成功建立连接，开始投屏,版本 1,待评审
79,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,验证修改Sink端名称后连接功能-OpenHarmony 平板,CJIMU,曹Sir,功能测试,P1,Sink端设备名称已修改并保存，设备处于待连接状态,,在OpenHarmony 平板设备上选择修改后的Sink端设备名称，进行投屏连接,Sink端设备接收到连接请求，并提示用户确认连接，用户确认后，Sink端设备与OpenHarmony 平板设备成功建立连接，开始投屏,版本 1,待评审
80,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,验证修改Sink端名称后连接功能-HarmonyOS Next,CJIMV,曹Sir,功能测试,P1,Sink端设备名称已修改并保存，Sink端设备处于待连接状态,,在HarmonyOS Next设备上选择修改后的Sink端设备名称，进行投屏连接,Sink端设备接收到连接请求，并提示用户确认连接，用户确认后，Sink端设备与HarmonyOS Next设备成功建立连接，开始投屏,版本 1,待评审
81,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,验证修改Sink端名称后连接功能-OpenHarmony,CJIMW,曹Sir,功能测试,P1,Sink端设备名称已修改并保存，Sink端设备处于待连接状态,,在OpenHarmony 设备上选择修改后的Sink端设备名称，进行投屏连接,Sink端设备接收到连接请求，并提示用户确认连接，用户确认后，Sink端设备与OpenHarmony 设备成功建立连接，开始投屏,版本 1,待评审
82,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,验证修改Sink端设备名称-特殊字符,CJIMK,曹Sir,功能测试,P1,Sink端设备已开启,,进入Sink端设置-编辑设备名称界面，输入特殊字符，字符数量不超过最大字符限制，进行保存,设备名称修改成功，显示为新的设备名称,版本 1,待评审
83,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,验证修改Sink端设备名称-数字名称,CJIML,曹Sir,功能测试,P1,Sink端设备已开启,,进入Sink端设置-编辑设备名称界面，输入数字字符，字符数量不超过最大字符限制，进行保存,设备名称修改成功，显示为新的设备名称,版本 1,待评审
84,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,验证修改Sink端设备名称-混合名称,CJIMM,曹Sir,功能测试,P1,Sink端设备已开启,,进入Sink端设置-编辑设备名称界面，输入中文、数字、英文、特殊混合字符，字符数量不超过最大字符限制，进行保存,设备名称修改成功，显示为新的设备名称,版本 1,待评审
85,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,验证Sink端名称重复,CJIMN,曹Sir,功能测试,P1,Sink端设备已开启，场景中存在多个Sink端设备,,进入Sink端设置-编辑设备名称界面，将一个Sink端设备名称修改为与另一个相同,设备名称成功修改并保存,版本 1,待评审
86,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,验证修改后的Sink端设备名称重启后仍然有效,CJIMO,曹Sir,功能测试,P1,Sink端设备名称已修改并保存,,重启TV，查看设备名称,修改后的设备名称应仍然有效，未被重置,版本 1,待评审
87,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,验证修改后Sink端名称在Source端显示-OpenHarmony PC,CJIMP,曹Sir,功能测试,P1,Sink端设备名称已修改并保存,,在OpenHarmony PC端设备上重新刷新设备列表，检查设备列表中的Sink端设备名称,Sink端设备在OpenHarmony PC设备上的名称显示为修改后的名称,版本 1,待评审
88,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,验证修改后Sink端名称在Source端显示-OpenHarmony 平板,CJIMQ,曹Sir,功能测试,P1,Sink端设备名称已修改并保存,,在OpenHarmony 平板端设备上重新刷新设备列表，检查设备列表中的Sink端设备名称,Sink端设备在OpenHarmony 平板设备上的名称显示为修改后的名称,版本 1,待评审
89,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,验证修改Sink端设备名称-空字符,CJIMH,曹Sir,功能测试,P1,Sink端设备已开启,,进入Sink端设置-编辑设备名称界面，输入空字符，进行保存,弹出保存失败提示,版本 1,待评审
90,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,验证修改Sink端设备名称-中文名称,CJIMI,曹Sir,功能测试,P1,Sink端设备已开启,,进入Sink端设置-编辑设备名称界面，输入中文字符，字符数量不超过最大字符限制，进行保存,设备名称修改成功，显示为新的设备名称,版本 1,待评审
91,【SF】【投屏分享】/【IR】【镜像投屏】目的端/【SR】支持系统投屏入口,验证修改Sink端设备名称-英文名称,CJIMJ,曹Sir,功能测试,P1,Sink端设备已开启,,进入Sink端设置-编辑设备名称界面，输入英文字符，字符数量不超过最大字符限制，进行保存,设备名称修改成功，显示为新的设备名称,版本 1,待评审
92,【SF】【投屏分享】/【IR】【镜像投屏】目的端/性能与稳定性,多个source端反复抢占,CLHPW,曹Sir,性能测试,P3,1、准备sink端设备和源端设备A、源端设备B,"","A手机投屏到对端
B手机发起投屏到同一台sink端设备
重复步骤1-步骤3","

100次测试，A手机投屏成功率达标98%；B手机抢占，A断开，成功率98%",版本 1,待评审
93,【SF】【投屏分享】/【IR】【镜像投屏】目的端/性能与稳定性,投屏后切换横竖屏,CLHPA,曹Sir,性能测试,P3,双端投屏成功,"","投屏后处于可横竖屏切换的应用内（如设置界面/图库中等），source端竖屏切横屏、横屏切竖屏反复切换50次
投屏后播放视频，source端竖屏切横屏、横屏切竖屏反复切换50次","投屏画面同步切换，显示无黑/白屏/截断等异常
投屏画面同步切换，显示无黑/白屏/截断等异常",版本 1,待评审
94,【SF】【投屏分享】/【IR】【镜像投屏】目的端/性能与稳定性,投屏成功后source端下拉通知栏展示,CLHP7,曹Sir,性能测试,P3,1、双端已经投屏成功,"",source端反复下来通知栏50次,50次每次sink端画面与source端同步，无花屏，雪花，撕屏等情况,版本 1,待评审
95,【SF】【投屏分享】/【IR】【镜像投屏】目的端/性能与稳定性,投屏成功后source端下拉状态栏,CLHP4,曹Sir,性能测试,P3,1、双端已经投屏成功,"",source端反复下来状态栏50次,50次每次sink端画面与source端同步，无花屏，雪花，撕屏等情况,版本 1,待评审
96,【SF】【投屏分享】/【IR】【镜像投屏】目的端/性能与稳定性,投屏中拉远场景,CLHOU,曹Sir,性能测试,P3,source端设备与sink端设备已连接并在投屏中,"","投屏过程中手机设备拉远距离TV端10米以上或者手机放入屏蔽箱中，本次投屏结束无异常，再次投屏成功
重复测试30次","
30次测试均无异常",版本 1,待评审
97,【SF】【投屏分享】/【IR】【镜像投屏】目的端/性能与稳定性,投屏连接成功率,CLEQV,曹Sir,性能测试,P3,sink端处于可被发现状态,"","无线投屏下拉列表查看sink端设备
点击sink端大屏设备，进行连接
等待连接成功
重复步骤1-步骤3","


100次测试，设备连接成功率达标98%",版本 1,待评审
98,【SF】【投屏分享】/【IR】【镜像投屏】目的端/性能与稳定性,投屏稳定性,CLEKD,曹Sir,性能测试,P3,无,"","手机启动投屏搜索投屏设备
搜索到Miracast接收端设备
发起投屏连接
重复步骤1-3 测试100次","
可以搜索到Miracast播放器设备，设备显示在投屏列表界面
可以成功建立Miracast连接至接收端。手机镜像显示
100次测试均成功",版本 1,待评审
99,【SF】【投屏分享】/【IR】【镜像投屏】目的端/性能与稳定性,画面同步流畅度,CLCQS,曹Sir,性能测试,P3,"","","source端任意操作变化界面
查看sink端界面同步的响应时延与完成时延","
时延与商用机误差不得大于5%",版本 1,待评审
100,【SF】【投屏分享】/【IR】【镜像投屏】目的端/性能与稳定性,连接sink设备的响应时延与完成时延,CLCQ6,曹Sir,性能测试,P3,1、源端已经打开WiFi功能 2、接收端设备已经打开Miracast投屏功能或MIracast投屏软件,"","打开源端无线投屏开关后选择设备
重复30次","连接成功
时延与商用机误差不得大于5%",版本 1,待评审
101,【SF】【投屏分享】/【IR】【镜像投屏】目的端/性能与稳定性,搜索sink端设备响应时延与完成时延,CLCPI,曹Sir,性能测试,P3,1、源端已经打开WiFi功能 2、接收端设备已经打开Miracast投屏功能或MIracast投屏软件,"","源端点击无线投屏 到 设备搜索列表出现TV端设备
测试30次","
时延与商用机误差不得大于5%",版本 1,待评审
